word,count_in_spam,count_in_nonspam,P(word),P(non-spam),P(spam),P(word|spam),P(word|nonspam),P(spam|word),P(non_spam|word)
tgo,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
tribunals,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
arsenal,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
vinhos,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
comits,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
disquietude,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
refereed,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
erip,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
predetermined,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
provencaux,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
limitation,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
coker,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
bison,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
wildness,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
axew,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
northstar,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
incubated,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
incurve,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
outsat,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pourra,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
authenticity,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
potentiaily,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
southernmost,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
subscr,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
pereiraru,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
regeneration,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
newsietter,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
cecilybaxter,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
excelleent,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
babie,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
moi,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
djiasm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
syringes,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tios,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
northrop,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
